file.name	rsquared	query.genome	target.genome	match.file.name
6_54.rda	6_54.rda	0.633202114577255	6	54	6_54.txt.match
6_55.rda	6_55.rda	0.751399273655548	6	55	6_55.txt.match
6_56.rda	6_56.rda	0.605671478225404	6	56	6_56.txt.match
6_58.rda	6_58.rda	0.87695272846304	6	58	6_58.txt.match
6_59.rda	6_59.rda	0.999999894860946	6	59	6_59.txt.match
6_60.rda	6_60.rda	0.946720686302428	6	60	6_60.txt.match
6_62.rda	6_62.rda	0.97435342778949	6	62	6_62.txt.match
6_65.rda	6_65.rda	0.986406149578319	6	65	6_65.txt.match
6_66.rda	6_66.rda	0.933193134637782	6	66	6_66.txt.match
6_67.rda	6_67.rda	0.803113650599702	6	67	6_67.txt.match
6_68.rda	6_68.rda	0.0505885363297591	6	68	6_68.txt.match
6_69.rda	6_69.rda	0.999999980579439	6	69	6_69.txt.match
7_8.rda	7_8.rda	0.682863300352608	7	8	7_8.txt.match
7_9.rda	7_9.rda	0.747723531193211	7	9	7_9.txt.match
7_10.rda	7_10.rda	0.766144164488973	7	10	7_10.txt.match
7_11.rda	7_11.rda	0.702315451510095	7	11	7_11.txt.match
7_12.rda	7_12.rda	0.770512843254729	7	12	7_12.txt.match
7_13.rda	7_13.rda	0.649232957396803	7	13	7_13.txt.match
7_14.rda	7_14.rda	0.876666459441871	7	14	7_14.txt.match
7_15.rda	7_15.rda	0.910470179904847	7	15	7_15.txt.match
7_16.rda	7_16.rda	0.904123463371768	7	16	7_16.txt.match
7_17.rda	7_17.rda	0.802760566887555	7	17	7_17.txt.match
7_18.rda	7_18.rda	0.887806323568696	7	18	7_18.txt.match
7_19.rda	7_19.rda	0.913263497666736	7	19	7_19.txt.match
7_20.rda	7_20.rda	0.739070091408712	7	20	7_20.txt.match
7_21.rda	7_21.rda	0.848308528672593	7	21	7_21.txt.match
7_22.rda	7_22.rda	0.74359347717077	7	22	7_22.txt.match
7_24.rda	7_24.rda	0.915284642921125	7	24	7_24.txt.match
7_25.rda	7_25.rda	0.919973859865898	7	25	7_25.txt.match
7_26.rda	7_26.rda	0.689401345428852	7	26	7_26.txt.match
7_27.rda	7_27.rda	0.701097174207105	7	27	7_27.txt.match
7_28.rda	7_28.rda	0.877371732856801	7	28	7_28.txt.match
7_30.rda	7_30.rda	0.856650412958196	7	30	7_30.txt.match
7_31.rda	7_31.rda	0.749076768676551	7	31	7_31.txt.match
7_32.rda	7_32.rda	0.719689667567148	7	32	7_32.txt.match
7_33.rda	7_33.rda	0.873991743995495	7	33	7_33.txt.match
7_34.rda	7_34.rda	0.945193172582715	7	34	7_34.txt.match
7_35.rda	7_35.rda	0.915109597732603	7	35	7_35.txt.match
7_36.rda	7_36.rda	0.856100470080895	7	36	7_36.txt.match
7_37.rda	7_37.rda	0.792515620545538	7	37	7_37.txt.match
7_38.rda	7_38.rda	0.667227059045884	7	38	7_38.txt.match
7_39.rda	7_39.rda	0.730947702504152	7	39	7_39.txt.match
7_41.rda	7_41.rda	0.0316977560133738	7	41	7_41.txt.match
7_42.rda	7_42.rda	0.707042542539748	7	42	7_42.txt.match
7_43.rda	7_43.rda	0.707973275205154	7	43	7_43.txt.match
7_44.rda	7_44.rda	0.877738538417611	7	44	7_44.txt.match
7_45.rda	7_45.rda	0.85816099601259	7	45	7_45.txt.match
7_46.rda	7_46.rda	0.0590408551074226	7	46	7_46.txt.match
7_48.rda	7_48.rda	0.808455018933526	7	48	7_48.txt.match
7_49.rda	7_49.rda	0.846166702824008	7	49	7_49.txt.match
7_50.rda	7_50.rda	0.881843810743913	7	50	7_50.txt.match
7_51.rda	7_51.rda	0.840908520158226	7	51	7_51.txt.match
7_52.rda	7_52.rda	0.892483517437947	7	52	7_52.txt.match
7_53.rda	7_53.rda	0.735544950663136	7	53	7_53.txt.match
7_54.rda	7_54.rda	0.694632339159744	7	54	7_54.txt.match
7_55.rda	7_55.rda	0.710731258504785	7	55	7_55.txt.match
7_56.rda	7_56.rda	0.664173490125731	7	56	7_56.txt.match
7_58.rda	7_58.rda	0.709998564722327	7	58	7_58.txt.match
7_59.rda	7_59.rda	0.948816545320872	7	59	7_59.txt.match
7_60.rda	7_60.rda	0.896762613953353	7	60	7_60.txt.match
7_62.rda	7_62.rda	0.880248119456028	7	62	7_62.txt.match
7_65.rda	7_65.rda	0.972888839829649	7	65	7_65.txt.match
